source,target,value
PANGEA MUNDO NA,ComprasCasa,4.05
ComprasCasa,Necesidad,16.31
ComprasCasa,Necesidad,18.92
ComprasCasa,Necesidad,97.57
ComprasCasa,Necesidad,85.52
ComprasCasa,Necesidad,53.41
ComprasCasa,Necesidad,89.61
ComprasCasa,Necesidad,49.33
ComprasCasa,Necesidad,109.57
ComprasCasa,Necesidad,21.28
ComprasCasa,Necesidad,23.55
ComprasCasa,Necesidad,35
ComprasCasa,Necesidad,41
ComprasCasa,Necesidad,9.8
ComprasCasa,Necesidad,17.95
ComprasCasa,Necesidad,4.05
Ingresos,FARMACIA-S.AGUS,1
Ingresos,FARMACIA-S.AGUS,39.45
Ingresos,FARMACIA-S.AGUS,11.11
Ingresos,FARMACIA-S.AGUS,15.9
Ingresos,FARMACIA-S.AGUS,1
FARMACIA-S.AGUS,Farmacia,1
FARMACIA-S.AGUS,Farmacia,39.45
FARMACIA-S.AGUS,Farmacia,11.11
FARMACIA-S.AGUS,Farmacia,15.9
FARMACIA-S.AGUS,Farmacia,1
Farmacia,Necesidad,1
Farmacia,Necesidad,39.45
Farmacia,Necesidad,11.11
Farmacia,Necesidad,15.9
Farmacia,Necesidad,1
Ingresos,PARKING-2,13.3
Ingresos,PARKING-1,10.7
Ingresos,PARKING-3,4.35
Ingresos,PARKING-4,4.8
PARKING-1,Parking,10.7
PARKING-2,Parking,13.3
PARKING-3,Parking,4.35
PARKING-4,Parking,4.8
Parking,Necesidad,10.7
Parking,Necesidad,13.3
Parking,Necesidad,4.35
Parking,Necesidad,4.8
Ingresos,AMZN Mktp ES*P48V50QY5,8.98
Ingresos,DECATHLON DEHES,29.98
Ingresos,SP SANA NUTRIENTS,27.92
Ingresos,Wellhub-EU,36.99
Ingresos,Wellhub-EU,36.99
AMZN Mktp ES*P48V50QY5,Salud,8.98
DECATHLON DEHES,Salud,29.98
SP SANA NUTRIENTS,Salud,27.92
Wellhub-EU,Salud,36.99
Wellhub-EU,Salud,36.99
Salud,Necesidad,8.98
Salud,Necesidad,29.98
Salud,Necesidad,27.92
Salud,Necesidad,36.99
Salud,Necesidad,36.99
Ingresos,Cabify ES 2542Disu40AN,46.76
Ingresos,LLONGUERAS,23
Ingresos,MADRID NORTE,50.82
Ingresos,CC ASIATICO,11.1
Ingresos,WESTERN UNION,32.49
Ingresos,WESTERN UNION,50
MADRID NORTE,Otros,50.82
LLONGUERAS,Otros,23
Cabify ES 2542Disu40AN,Otros,46.76
WESTERN UNION,Otros,50
WESTERN UNION,Otros,32.49
CC ASIATICO,Otros,11.1
Otros,Necesidad,50.82
Otros,Necesidad,23
Otros,Necesidad,46.76
Otros,Necesidad,50
Otros,Necesidad,32.49
Otros,Necesidad,11.1
Ingresos,Alquiler,1500
Ingresos,Luz,56.89
Ingresos,Agua,15.295
Ingresos,EOS,20
Ingresos,DIGI (Moviles),10
Ingresos,iCloud-G,2.99
Ingresos,iCloud-K,9.99
Ingresos,APPLE.COM/BILL,2.99
Alquiler,Servicios Fijos,1500
